"","data","date","park"
"PRISM_tmean_stable_4kmM2_2004_bil1",2.52837491035461,2004-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2005_bil1",3.66049981117249,2005-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2006_bil1",4.55945825576782,2006-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2007_bil1",3.277583360672,2007-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2008_bil1",1.48020839691162,2008-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2009_bil1",2.10870838165283,2009-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2010_bil1",4.0834584236145,2010-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2011_bil1",3.34454154968262,2011-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2012_bil1",4.78425025939941,2012-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2013_bil1",1.61166667938232,2013-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2014_bil1",1.2924998998642,2014-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_2015_bil1",3.86100029945374,2015-01-01,"VOYA"
"PRISM_tmean_stable_4kmM2_1980_bil2",-0.529833436012268,1980-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1982_bil2",-1.7673751115799,1982-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1983_bil2",-1.53062510490417,1983-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1984_bil2",-2.00250005722046,1984-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1985_bil2",-1.8769998550415,1985-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1986_bil2",-0.690875113010406,1986-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1987_bil2",-0.907666623592377,1987-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1988_bil2",-0.699041664600372,1988-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1989_bil2",-0.619541704654694,1989-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1990_bil2",-0.633125007152557,1990-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1991_bil2",-0.96420830488205,1991-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1992_bil2",-0.59416663646698,1992-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1993_bil2",-1.49241673946381,1993-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1994_bil2",-0.21112497150898,1994-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1995_bil2",-0.628291666507721,1995-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1996_bil2",-0.706749796867371,1996-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1997_bil2",-0.940375089645386,1997-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1998_bil2",-0.371333241462708,1998-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1999_bil2",-0.163124993443489,1999-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2000_bil2",0.0787915587425232,2000-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2001_bil2",0.32083323597908,2001-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2002_bil2",-0.451499998569489,2002-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2003_bil2",0.267375022172928,2003-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2004_bil2",-0.374041765928268,2004-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2005_bil2",0.109958410263062,2005-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2006_bil2",-0.173708200454712,2006-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2007_bil2",0.35124996304512,2007-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2008_bil2",-0.353666543960571,2008-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2009_bil2",0.0182084236294031,2009-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2010_bil2",0.350208342075348,2010-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2011_bil2",-0.184999942779541,2011-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2012_bil2",1.56949996948242,2012-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2013_bil2",-0.0145832700654864,2013-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2014_bil2",0.417500048875809,2014-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_2015_bil2",1.2260000705719,2015-01-01,"ROMO"
"PRISM_tmean_stable_4kmM2_1980_bil3",21.0083332061768,1980-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1982_bil3",20.808708190918,1982-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1983_bil3",20.4426250457764,1983-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1984_bil3",21.0122509002686,1984-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1985_bil3",20.4450416564941,1985-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1986_bil3",21.1559162139893,1986-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1987_bil3",19.8847923278809,1987-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1988_bil3",20.877290725708,1988-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1989_bil3",20.9738750457764,1989-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1990_bil3",20.9695415496826,1990-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1991_bil3",21.2547092437744,1991-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1992_bil3",20.7372074127197,1992-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1993_bil3",21.0951251983643,1993-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1994_bil3",21.7650413513184,1994-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1995_bil3",21.4290828704834,1995-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1996_bil3",21.3993759155273,1996-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1997_bil3",20.3232078552246,1997-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1998_bil3",22.1142921447754,1998-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1999_bil3",21.7367916107178,1999-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2000_bil3",21.8885841369629,2000-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2001_bil3",21.4192504882812,2001-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2002_bil3",21.2107925415039,2002-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2003_bil3",21.1355838775635,2003-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2004_bil3",20.757999420166,2004-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2005_bil3",21.4118747711182,2005-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2006_bil3",22.3428325653076,2006-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2007_bil3",20.330249786377,2007-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2008_bil3",21.3120422363281,2008-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2009_bil3",21.6250419616699,2009-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2010_bil3",20.5029163360596,2010-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2011_bil3",22.0137920379639,2011-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2012_bil3",22.0542087554932,2012-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2013_bil3",20.9170837402344,2013-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2014_bil3",20.4862499237061,2014-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_2015_bil3",20.6470012664795,2015-01-01,"AMIS"
"PRISM_tmean_stable_4kmM2_1980_bil4",1.78483331203461,1980-01-01,"SEKI"
"PRISM_tmean_stable_4kmM2_1982_bil4",0.76304167509079,1982-01-01,"SEKI"
"PRISM_tmean_stable_4kmM2_1983_bil4",1.04991674423218,1983-01-01,"SEKI"
"PRISM_tmean_stable_4kmM2_1984_bil4",2.03583312034607,1984-01-01,"SEKI"
"PRISM_tmean_stable_4kmM2_1985_bil4",1.63699996471405,1985-01-01,"SEKI"
"PRISM_tmean_stable_4kmM2_1986_bil4",2.35308313369751,1986-01-01,"SEKI"
"PRISM_tmean_stable_4kmM2_1987_bil4",2.10733342170715,1987-01-01,"SEKI"
"PRISM_tmean_stable_4kmM2_1988_bil4",3.02891659736633,1988-01-01,"SEKI"
