"x","median","fifth","ninetyfifth","twentyfifth","seventyfifth"
2399.21649008145,0.136,0,0,0.041,0.428
2401.60668604804,0.138,0,0,0.043,0.399
2403.99688201464,0.22,0,0,0.13175,0.38725
2406.38707798123,0.229,0,0,0.14575,0.418
2408.77727394783,0.259,0,0,0.176,0.423
2411.16746991442,0.2315,0,0,0.145,0.438
2413.55766588101,0.203,0,0,0.077,0.441
2415.94786184761,0.276,0,0,0.08,0.69325
2418.3380578142,0.292,0,0,0.081,0.723
2420.7282537808,0.289,0,0,0.081,0.727
2423.11844974739,0.289,0,0,0.079,0.69
2425.50864571398,0.243,0,0,0.086,0.58
2427.89884168058,0.257,0,0,0.098,0.597
2430.28903764717,0.278,0,0,0.086,0.63925
2432.67923361377,0.295,0,0,0.138,0.637
2435.06942958036,0.331,0,0,0.202,0.5385
2437.45962554695,0.441,0,0,0.326,0.618
2439.84982151355,0.481,0,0,0.306,0.612
2442.24001748014,0.4685,0,0,0.29,0.598
2444.63021344674,0.488,0,0,0.302,0.608
2447.02040941333,0.457,0,0,0.277,0.581
2449.41060537992,0.435,0,0,0.28,0.586
2451.80080134652,0.352,0,0,0.217,0.495
2454.19099731311,0.3645,0,0,0.2,0.54
2456.58119327971,0.364,0,0,0.189,0.53
2458.9713892463,0.421,0,0,0.237,0.691
2461.36158521289,0.4275,0,0,0.2385,0.706
2463.75178117949,0.33,0,0,0.179,0.457
2466.14197714608,0.334,0,0,0.19,0.452
2468.53217311268,0.338,0,0,0.203,0.448
2470.92236907927,0.337,0,0,0.221,0.459
2473.31256504586,0.386,0,0,0.248,0.531
2475.70276101246,0.448,0,0,0.257,0.604
2478.09295697905,0.373,0,0,0.207,0.568
2480.48315294565,0.353,0,0,0.16775,0.521
2482.87334891224,0.376,0,0,0.185,0.537
2485.26354487883,0.23,0,0,0.126,0.45475
2487.65374084543,0.226,0,0,0.133,0.446
2490.04393681202,0.23,0,0,0.137,0.396
2492.43413277862,0.255,0,0,0.167,0.444
2494.82432874521,0.371,0,0,0.212,0.521
2497.2145247118,0.785,0,0,0.475,0.903
2499.6047206784,0.785,0,0,0.4855,0.919
2501.99491664499,0.785,0,0,0.493,0.923
2504.38511261159,0.792,0,0,0.539,0.926
2506.77530857818,0.777,0,0,0.506,0.933
2509.16550454477,0.787,0,0,0.524,0.942
2511.55570051137,0.802,0,0,0.545,0.949
2513.94589647796,0.809,0,0,0.567,0.95
2516.33609244456,0.8,0,0,0.52,0.946
2518.72628841115,0.8085,0,0,0.525,0.946
2521.11648437774,0.792,0,0,0.567,0.88
2523.50668034434,0.798,0,0,0.562,0.932
2525.89687631093,0.795,0,0,0.559,0.931
2528.28707227753,0.728,0,0,0.531,0.892
2530.67726824412,0.637,0,0,0.455,0.825
2533.06746421071,0.658,0,0,0.45,0.869
2535.45766017731,0.694,0,0,0.48,0.876
2537.8478561439,0.698,0,0,0.49,0.876
2540.2380521105,0.706,0,0,0.502,0.877
2542.62824807709,0.645,0,0,0.456,0.826
2545.01844404368,0.628,0,0,0.441,0.808
2547.40864001028,0.578,0,0,0.407,0.66
2549.79883597687,0.619,0,0,0.447,0.757
2552.18903194347,0.6235,0,0,0.445,0.80825
2554.57922791006,0.652,0,0,0.466,0.822
2556.96942387665,0.684,0,0,0.499,0.824
2559.35961984325,0.686,0,0,0.51075,0.823
2561.74981580984,0.6545,0,0,0.474,0.782
2564.14001177644,0.639,0,0,0.45,0.779
2566.53020774303,0.642,0,0,0.439,0.75225
2568.92040370962,0.584,0,0,0.426,0.734
2571.31059967622,0.587,0,0,0.411,0.721
